,boundary,cue,sequence,changable_notes,idx
0,0,0,0,0,0
1,0,0,0,0,1
2,0,0,0,1,2
3,0,0,0,0,3
4,0,0,0,1,4
5,0,0,0,0,5
6,0,0,0,0,6
7,0,1,0,1,7
8,0,0,0,0,8
9,0,0,0,1,9
10,0,0,0,0,10
11,0,0,0,0,11
12,0,0,0,1,12
13,0,0,0,0,13
14,0,0,0,0,14
15,0,0,0,0,15
16,0,0,0,1,16
17,0,0,0,0,17
18,0,0,0,0,18
19,0,0,0,0,19
20,0,0,0,1,20
21,1,0,1,1,21
22,0,0,0,0,22
23,0,1,0,1,23
24,0,0,0,0,24
25,0,0,0,1,25
26,0,0,0,0,26
27,0,0,0,0,27
28,0,0,0,1,28
29,0,0,0,0,29
30,0,1,1,1,30
31,0,0,0,0,31
32,0,0,0,1,32
33,0,0,0,0,33
34,0,0,0,1,34
35,0,0,0,0,35
36,0,0,0,0,36
37,0,0,0,0,37
38,0,0,0,1,38
39,1,0,0,1,39
40,0,0,0,1,40
41,0,0,0,0,41
42,0,0,0,1,42
43,0,0,0,0,43
44,0,0,0,0,44
45,0,0,0,0,45
46,0,0,0,0,46
47,0,0,0,0,47
48,0,0,0,0,48
49,0,0,0,0,49
50,0,0,0,1,50
51,0,0,0,0,51
52,0,0,0,1,52
53,0,0,0,0,53
54,0,0,0,1,54
55,0,0,0,0,55
56,0,0,0,0,56
57,0,0,0,1,57
58,0,0,0,0,58
59,1,1,1,1,59
60,0,0,0,0,60
61,0,0,0,1,61
62,0,0,0,0,62
63,0,0,0,0,63
64,0,0,0,0,64
65,0,0,0,1,65
66,0,0,0,0,66
67,0,0,0,0,67
68,0,0,0,0,68
69,0,0,0,1,69
70,0,0,0,0,70
71,0,0,1,1,71
72,0,0,0,0,72
73,0,0,0,0,73
74,0,0,0,0,74
75,0,0,0,1,75
76,0,0,0,0,76
77,0,0,0,0,77
78,0,0,0,0,78
79,0,0,0,1,79
80,0,0,0,0,80
81,0,0,0,0,81
82,0,0,0,0,82
83,0,0,0,1,83
84,0,0,0,0,84
85,1,1,0,1,85
86,0,0,0,0,86
87,0,0,0,0,87
88,0,0,0,1,88
89,0,0,0,0,89
90,0,0,0,0,90
91,0,0,0,0,91
92,0,0,0,1,92
93,0,0,0,0,93
94,0,0,0,0,94
95,0,0,0,0,95
96,0,0,0,1,96
97,0,0,0,0,97
98,0,0,0,0,98
99,0,1,1,1,99
100,0,0,0,0,100
101,0,0,0,0,101
102,0,0,0,0,102
103,0,0,0,1,103
104,0,0,0,0,104
105,0,0,0,1,105
106,0,0,0,0,106
107,0,0,0,1,107
108,0,0,0,0,108
109,0,0,0,0,109
110,1,1,1,1,110
111,0,0,0,0,111
112,0,0,0,0,112
113,0,0,0,0,113
114,0,0,0,1,114
115,0,0,0,0,115
116,0,0,0,0,116
117,0,0,0,0,117
118,0,0,0,1,118
119,0,0,0,0,119
120,0,0,0,0,120
121,0,0,0,0,121
122,0,0,0,1,122
123,0,0,1,1,123
124,0,0,0,1,124
125,0,0,0,1,125
126,0,0,0,0,126
127,0,0,0,0,127
128,0,1,1,1,128
129,0,0,0,0,129
130,1,0,0,1,130
131,0,0,0,0,131
132,0,0,0,1,132
133,0,0,0,0,133
134,0,0,0,0,134
135,0,0,0,0,135
136,0,0,0,1,136
137,0,0,0,0,137
138,0,1,1,1,138
139,0,0,0,0,139
140,0,0,0,1,140
141,0,0,0,0,141
142,0,0,0,0,142
143,0,0,0,1,143
144,0,0,0,0,144
145,0,0,0,0,145
146,0,0,0,0,146
147,0,0,0,0,147
148,1,0,0,1,148
149,0,0,0,1,149
150,0,0,0,0,150
151,0,0,0,1,151
152,0,0,0,0,152
153,0,0,0,1,153
154,0,0,0,1,154
155,0,0,0,0,155
156,0,1,0,1,156
157,0,0,0,1,157
158,0,0,0,0,158
159,0,0,0,0,159
