,Frequency,Boundary,Location_change,Visual_cue,Responses
0,391.995436,0,0,1,0
1,329.6275569,0,0,0,0
2,440.0,0,0,0,0
3,293.6647679,0,0,0,0
4,329.6275569,0,0,0,0
5,349.2282314,0,0,0,0
6,391.995436,0,0,0,0
7,195.997718,0,0,0,0
8,261.6255653,0,1,0,0
9,293.6647679,0,0,1,0
10,329.6275569,0,0,0,0
11,349.2282314,0,0,0,0
12,391.995436,0,0,0,0
13,440.0,0,0,0,0
14,493.8833013,0,1,0,0
15,587.3295358,0,1,1,0
16,523.2511306,1,1,0,0
17,261.6255653,0,0,0,0
18,329.6275569,0,0,0,0
19,261.6255653,0,0,0,0
20,391.995436,0,1,0,0
21,349.2282314,0,0,0,0
22,329.6275569,0,0,0,0
23,293.6647679,0,1,0,0
24,261.6255653,0,0,1,0
25,246.9416506,0,0,1,0
26,220.0,0,1,1,0
27,246.9416506,0,0,0,0
28,261.6255653,0,0,0,0
29,261.6255653,0,0,0,0
30,783.990872,1,0,1,0
31,391.995436,0,0,0,0
32,783.990872,0,1,0,0
33,783.990872,0,0,0,0
34,880.0,0,0,0,0
35,783.990872,0,1,1,0
36,880.0,0,1,0,0
37,698.4564629,0,0,0,0
38,698.4564629,0,0,0,0
39,349.2282314,0,0,0,0
40,698.4564629,0,0,0,0
41,698.4564629,0,0,0,0
42,783.990872,0,0,1,0
43,698.4564629,0,0,1,0
44,783.990872,0,0,0,0
45,659.2551138,0,0,0,0
46,391.995436,0,1,0,0
47,523.2511306,0,1,0,0
48,587.3295358,0,0,1,0
49,659.2551138,0,0,0,0
50,391.995436,0,0,0,0
51,523.2511306,0,0,0,0
52,587.3295358,0,0,0,0
53,659.2551138,0,0,0,0
54,698.4564629,0,0,0,0
55,587.3295358,0,0,0,0
56,659.2551138,0,1,0,0
57,523.2511306,0,0,0,0
58,391.995436,0,0,0,0
59,261.6255653,0,0,0,0
60,523.2511306,1,0,0,0
61,587.3295358,0,0,0,0
62,659.2551138,0,0,0,0
63,587.3295358,0,0,1,0
64,523.2511306,0,0,0,0
65,783.990872,0,0,0,0
66,659.2551138,0,0,0,0
67,1046.502261,0,0,0,0
68,783.990872,0,0,0,0
69,659.2551138,0,0,0,0
70,783.990872,0,0,0,0
71,698.4564629,0,0,0,0
72,659.2551138,0,1,0,0
73,698.4564629,0,0,1,0
74,783.990872,0,0,1,0
75,523.2511306,0,0,1,0
76,659.2551138,0,0,0,0
77,391.995436,0,0,0,0
78,493.8833013,0,0,0,0
79,523.2511306,0,0,0,0
80,261.6255653,1,1,0,0
81,293.6647679,0,0,0,0
82,329.6275569,0,0,1,0
83,349.2282314,0,0,1,0
84,329.6275569,0,0,0,0
85,349.2282314,0,0,0,0
86,293.6647679,0,0,0,0
87,329.6275569,0,0,0,0
88,349.2282314,0,0,0,0
89,391.995436,0,0,0,0
90,329.6275569,0,1,0,0
91,440.0,0,0,0,0
92,391.995436,0,0,0,0
93,440.0,0,0,0,0
94,391.995436,0,0,0,0
95,349.2282314,0,0,0,0
96,391.995436,0,0,1,0
97,329.6275569,0,0,0,0
98,349.2282314,0,0,0,0
99,293.6647679,0,0,1,0
100,261.6255653,0,1,0,0
101,391.995436,1,0,1,0
102,440.0,0,0,0,0
103,391.995436,0,0,0,0
104,349.2282314,0,0,0,0
105,391.995436,0,0,1,0
106,659.2551138,0,0,1,0
107,523.2511306,0,0,0,0
108,391.995436,0,0,0,0
109,349.2282314,0,0,0,0
110,329.6275569,0,0,0,0
111,349.2282314,0,0,0,0
112,587.3295358,0,0,0,0
113,329.6275569,0,0,0,0
114,523.2511306,0,0,0,0
115,293.6647679,0,0,1,0
116,493.8833013,0,0,0,0
117,523.2511306,0,0,1,0
118,261.6255653,1,0,1,0
119,293.6647679,0,0,0,0
120,293.6647679,0,0,0,0
121,329.6275569,0,0,1,0
122,349.2282314,0,0,1,0
123,391.995436,0,0,0,0
124,349.2282314,0,0,1,0
125,391.995436,0,0,0,0
126,440.0,0,0,0,0
127,391.995436,0,0,0,0
128,349.2282314,0,0,0,0
129,329.6275569,0,0,1,0
130,293.6647679,0,0,0,0
131,261.6255653,1,0,1,0
132,523.2511306,0,0,0,0
133,523.2511306,0,1,0,0
134,523.2511306,0,0,1,0
135,349.2282314,0,0,0,0
136,440.0,0,1,0,0
137,293.6647679,0,0,0,0
138,391.995436,0,0,0,0
139,349.2282314,0,0,0,0
140,329.6275569,0,0,0,0
141,261.6255653,0,0,1,0
142,391.995436,1,1,0,0
143,440.0,0,0,0,0
144,493.8833013,0,0,0,0
145,523.2511306,0,0,0,0
146,587.3295358,0,0,0,0
147,659.2551138,0,0,0,0
148,698.4564629,0,0,0,0
149,783.990872,0,0,0,0
150,698.4564629,0,0,0,0
151,783.990872,0,1,0,0
152,880.0,0,0,0,0
153,587.3295358,0,0,0,0
154,880.0,0,0,0,0
155,783.990872,0,0,0,0
156,698.4564629,0,0,0,0
157,659.2551138,0,0,1,0
158,261.6255653,1,0,0,1
159,293.6647679,0,0,0,0
160,329.6275569,0,0,0,0
161,261.6255653,0,0,0,0
162,391.995436,0,0,0,0
163,329.6275569,0,0,0,0
164,440.0,0,0,1,0
165,493.8833013,0,0,0,0
166,587.3295358,0,1,0,0
167,523.2511306,0,1,0,0
168,391.995436,1,0,1,0
169,440.0,0,0,0,0
170,440.0,0,1,1,0
171,440.0,0,0,0,0
172,391.995436,0,0,1,0
173,349.2282314,0,1,0,0
174,391.995436,0,1,0,0
175,440.0,0,1,0,0
176,493.8833013,0,1,0,0
177,523.2511306,0,0,0,0
178,261.6255653,0,1,0,0
179,349.2282314,0,0,1,0
180,349.2282314,0,1,1,0
181,349.2282314,0,0,0,0
182,329.6275569,0,0,0,0
183,293.6647679,0,0,1,0
184,329.6275569,0,0,0,0
185,293.6647679,0,0,0,0
186,329.6275569,0,0,0,0
187,261.6255653,0,0,0,0
188,293.6647679,0,0,0,0
189,261.6255653,1,0,0,0
190,523.2511306,0,1,0,0
191,523.2511306,0,1,0,0
192,523.2511306,0,1,1,0
193,349.2282314,0,0,1,0
194,440.0,0,0,0,0
195,293.6647679,0,1,0,0
196,391.995436,0,0,0,0
197,349.2282314,0,1,0,0
198,329.6275569,0,0,0,0
199,261.6255653,0,0,0,0
