onset_beat;duration_beat;midi_channel;freq;midi_pitch;velocity;onset_sec;duration_sec;boundary
1.5;0.47292;0;391,995436;67;80;0.40323;0.38138;0
2;0.47292;0;261,6255653;60;80;0.80645;0.38138;0
2.5;0.47292;0;391,995436;67;80;1.2097;0.38138;0
3;0.47292;0;523,2511306;72;80;1.6129;0.38138;0
3.5;0.47292;0;587,3295358;74;80;2.0161;0.38138;0
4;0.47292;0;622,2539674;75;80;2.4194;0.38138;0
4.5;0.23542;0;587,3295358;74;80;2.8226;0.18985;0
4.75;0.23542;0;523,2511306;72;80;3.0242;0.18985;0
5;0.47292;0;493,8833013;71;80;3.2258;0.38138;0
5.5;0.47292;0;466,1637615;70;80;3.629;0.38138;0
6;0.47292;0;440;69;80;4.0323;0.38138;0
6.5;0.47292;0;415,3046976;68;80;4.4355;0.38138;0
7;0.47292;0;391,995436;67;80;4.8387;0.38138;0
7.5;0.23542;0;349,2282314;65;80;5.2419;0.18985;0
7.75;0.23542;0;311,1269837;63;80;5.4436;0.18985;0
8;0.94792;0;293,6647679;62;80;5.6452;0.76445;0
9;0.23542;0;261,6255653;60;80;6.4516;0.18985;0
9.25;0.23542;0;195,997718;55;80;6.6532;0.18985;1
9.5;0.23542;0;261,6255653;60;80;6.8548;0.18985;0
9.75;0.23542;0;311,1269837;63;80;7.0565;0.18985;0
10;0.23542;0;293,6647679;62;80;7.2581;0.18985;0
10.25;0.23542;0;195,997718;55;80;7.4597;0.18985;0
10.5;0.23542;0;293,6647679;62;80;7.6613;0.18985;0
10.75;0.23542;0;349,2282314;65;80;7.8629;0.18985;0
11;0.47292;0;311,1269837;63;80;8.0645;0.38138;0
11.5;0.47292;0;391,995436;67;80;8.4677;0.38138;0
12;0.47292;0;349,2282314;65;80;8.871;0.38138;0
12.5;0.47292;0;311,1269837;63;80;9.2742;0.38138;0
13;0.47292;0;293,6647679;62;80;9.6774;0.38138;1
13.5;0.47292;0;261,6255653;60;80;10.081;0.38138;0
14;0.71042;0;391,995436;67;80;10.484;0.57292;0
14.75;0.23542;0;349,2282314;65;80;11.089;0.18985;0
15;0.71042;0;311,1269837;63;80;11.29;0.57292;0
15.75;0.23542;0;293,6647679;62;80;11.895;0.18985;0
16;1.4229;0;261,6255653;60;80;12.097;1.1475;0
17.5;0.47292;0;391,995436;67;80;13.306;0.38138;1
18;0.47292;0;349,2282314;65;80;13.71;0.38138;0
18.5;0.47292;0;391,995436;67;80;14.113;0.38138;0
19;0.47292;0;415,3046976;68;80;14.516;0.38138;0
19.5;0.47292;0;440;69;80;14.919;0.38138;0
20;0.47292;0;391,995436;67;80;15.323;0.38138;0
20.5;0.47292;0;440;69;80;15.726;0.38138;0
21;0.47292;0;466,1637615;70;80;16.129;0.38138;0
21.5;0.47292;0;493,8833013;71;80;16.532;0.38138;0
22;0.47292;0;415,3046976;68;80;16.935;0.38138;0
22.5;0.47292;0;493,8833013;71;80;17.339;0.38138;0
23;0.47292;0;523,2511306;72;80;17.742;0.38138;0
23.5;0.47292;0;391,995436;67;80;18.145;0.38138;0
24;0.94792;0;311,1269837;63;80;18.548;0.76445;0
25;0.47292;0;261,6255653;60;80;19.355;0.38138;0
25.5;0.47292;0;523,2511306;72;80;19.758;0.38138;1
26;0.47292;0;523,2511306;72;80;20.161;0.38138;0
26.5;0.47292;0;523,2511306;72;80;20.565;0.38138;0
27;0.47292;0;523,2511306;72;80;20.968;0.38138;0
27.5;0.23542;0;466,1637615;70;80;21.371;0.18985;0
27.75;0.23542;0;415,3046976;68;80;21.573;0.18985;0
28;0.47292;0;466,1637615;70;80;21.774;0.38138;0
28.5;0.47292;0;391,995436;67;80;22.177;0.38138;0
29;0.47292;0;415,3046976;68;80;22.581;0.38138;0
29.5;0.23542;0;391,995436;67;80;22.984;0.18985;1
29.75;0.23542;0;369,9944227;66;80;23.185;0.18985;0
30;0.47292;0;391,995436;67;80;23.387;0.38138;0
30.5;0.47292;0;195,997718;55;80;23.79;0.38138;0
31;1.4229;0;261,6255653;60;80;24.194;1.1475;0
32.5;0.47292;0;293,6647679;62;80;25.403;0.38138;0
33;0.47292;0;311,1269837;63;80;25.806;0.38138;0
33.5;0.23542;0;523,2511306;72;80;26.21;0.18985;1
33.75;0.23542;0;493,8833013;71;80;26.411;0.18985;0
34;0.23542;0;523,2511306;72;80;26.613;0.18985;0
34.25;0.23542;0;587,3295358;74;80;26.815;0.18985;0
34.5;0.23542;0;622,2539674;75;80;27.016;0.18985;0
34.75;0.23542;0;391,995436;67;80;27.218;0.18985;0
35;0.23542;0;415,3046976;68;80;27.419;0.18985;0
35.25;0.23542;0;466,1637615;70;80;27.621;0.18985;0
35.5;0.23542;0;415,3046976;68;80;27.823;0.18985;0
35.75;0.23542;0;349,2282314;65;80;28.024;0.18985;0
36;0.23542;0;698,4564629;77;80;28.226;0.18985;0
36.25;0.23542;0;622,2539674;75;80;28.427;0.18985;0
36.5;0.23542;0;587,3295358;74;80;28.629;0.18985;0
36.75;0.23542;0;523,2511306;72;80;28.831;0.18985;0
37;0.23542;0;493,8833013;71;80;29.032;0.18985;0
37.25;0.23542;0;830,6093952;80;80;29.234;0.18985;0
37.5;0.23542;0;783,990872;79;80;29.435;0.18985;0
37.75;0.23542;0;698,4564629;77;80;29.637;0.18985;0
38;0.23542;0;622,2539674;75;80;29.839;0.18985;0
38.25;0.23542;0;587,3295358;74;80;30.04;0.18985;0
38.5;0.23542;0;523,2511306;72;80;30.242;0.18985;0
38.75;0.23542;0;493,8833013;71;80;30.444;0.18985;0
39;0.23542;0;523,2511306;72;80;30.645;0.18985;0
39.25;0.23542;0;587,3295358;74;80;30.847;0.18985;0
39.5;0.23542;0;523,2511306;72;80;31.048;0.18985;0
39.75;0.23542;0;587,3295358;74;80;31.25;0.18985;0
40;0.71042;0;587,3295358;74;80;31.452;0.57292;0
40.75;0.11667;0;523,2511306;72;80;32.056;0.094086;0
40.875;0.11667;0;587,3295358;74;80;32.157;0.094086;0
41;0.94792;0;622,2539674;75;80;32.258;0.76445;0
42;0.94792;0;391,995436;67;80;33.065;0.76445;1
43;1.4229;0;415,3046976;68;80;33.871;1.1475;0
44.5;0.47292;0;415,3046976;68;80;35.081;0.38138;0
45;0.94792;0;391,995436;67;80;35.484;0.76445;0
46;0.47292;0;523,2511306;72;80;36.29;0.38138;0
46.5;0.47292;0;261,6255653;60;80;36.694;0.38138;0
47;0.94792;0;293,6647679;62;80;37.097;0.76445;0
48;0.94792;0;246,9416506;59;80;37.903;0.76445;0
49;0.94792;0;261,6255653;60;80;38.71;0.76445;0
50;0.94792;0;391,995436;67;80;39.516;0.76445;1
51;0.94792;0;415,3046976;68;80;40.323;0.76445;0
52;0.94792;0;391,995436;67;80;41.129;0.76445;0
53;0.94792;0;369,9944227;66;80;41.936;0.76445;0
54;0.94792;0;493,8833013;71;80;42.742;0.76445;0
55;0.94792;0;523,2511306;72;80;43.548;0.76445;0
56;0.94792;0;587,3295358;74;80;44.355;0.76445;0
57;0.94792;0;622,2539674;75;80;45.161;0.76445;0
58;0.94792;0;261,6255653;60;80;45.968;0.76445;1
59;0.47292;0;246,9416506;59;80;46.774;0.38138;0
59.5;0.23542;0;261,6255653;60;80;47.177;0.18985;0
59.75;0.23542;0;293,6647679;62;80;47.379;0.18985;0
60;0.47292;0;311,1269837;63;80;47.581;0.38138;0
60.5;0.47292;0;293,6647679;62;80;47.984;0.38138;0
61;0.47292;0;261,6255653;60;80;48.387;0.38138;0
61.5;0.47292;0;369,9944227;66;80;48.79;0.38138;0
62;0.47292;0;391,995436;67;80;49.194;0.38138;0
62.5;0.47292;0;233,0818808;58;80;49.597;0.38138;0
63;0.47292;0;261,6255653;60;80;50;0.38138;0
63.5;0.47292;0;261,6255653;60;80;50.403;0.38138;0
64;0.47292;0;293,6647679;62;80;50.806;0.38138;0
64.5;0.47292;0;293,6647679;62;80;51.21;0.38138;0
65;0.47292;0;195,997718;55;80;51.613;0.38138;0
65.5;0.47292;0;391,995436;67;80;52.016;0.38138;1
66;0.47292;0;311,1269837;63;80;52.419;0.38138;0
66.5;0.47292;0;261,6255653;60;80;52.823;0.38138;0
67;1.4229;0;415,3046976;68;80;53.226;1.1475;0
68.5;0.23542;0;391,995436;67;80;54.436;0.18985;0
68.75;0.23542;0;349,2282314;65;80;54.637;0.18985;0
69;0.47292;0;391,995436;67;80;54.839;0.38138;0
69.5;0.23542;0;311,1269837;63;80;55.242;0.18985;1
69.75;0.23542;0;293,6647679;62;80;55.444;0.18985;0
70;0.47292;0;311,1269837;63;80;55.645;0.38138;0
70.5;0.47292;0;349,2282314;65;80;56.048;0.38138;0
71;0.94792;0;391,995436;67;80;56.452;0.76445;0
72;0.94792;0;415,3046976;68;80;57.258;0.76445;0
73;0.47292;0;195,997718;55;80;58.065;0.38138;0
73.5;0.47292;0;391,995436;67;80;58.468;0.38138;1
74;0.47292;0;311,1269837;63;80;58.871;0.38138;0
74.5;0.47292;0;261,6255653;60;80;59.274;0.38138;0
75;1.4229;0;415,3046976;68;80;59.677;1.1475;0
76.5;0.23542;0;391,995436;67;80;60.887;0.18985;0
76.75;0.23542;0;349,2282314;65;80;61.089;0.18985;0
77;0.94792;0;391,995436;67;80;61.29;0.76445;0
78;0.47292;0;391,995436;67;80;62.097;0.38138;0
78.5;0.47292;0;523,2511306;72;80;62.5;0.38138;0
79;1.4229;0;349,2282314;65;80;62.903;1.1475;0
80.5;0.23542;0;311,1269837;63;80;64.113;0.18985;0
80.75;0.23542;0;293,6647679;62;80;64.315;0.18985;0
81;0.47292;0;261,6255653;60;80;64.516;0.38138;0
81.5;0.47292;0;391,995436;67;80;64.919;0.38138;1
82;0.47292;0;415,3046976;68;80;65.323;0.38138;0
82.5;0.47292;0;261,6255653;60;80;65.726;0.38138;0
83;0.94792;0;246,9416506;59;80;66.129;0.76445;0
84;1.4229;0;261,6255653;60;80;66.936;1.1475;0
85.5;0.23542;0;293,6647679;62;80;68.145;0.18985;0
85.75;0.23542;0;311,1269837;63;80;68.347;0.18985;0
86;0.47292;0;349,2282314;65;80;68.548;0.38138;0
86.5;0.23542;0;311,1269837;63;80;68.952;0.18985;0
86.75;0.23542;0;293,6647679;62;80;69.153;0.18985;0
87;0.94792;0;311,1269837;63;80;69.355;0.76445;0
88;1.4229;0;261,6255653;60;80;70.161;1.1475;0
89.5;0.47292;0;391,995436;67;80;71.371;0.38138;1
90;0.47292;0;311,1269837;63;80;71.774;0.38138;0
90.5;0.47292;0;261,6255653;60;80;72.177;0.38138;0
91;0.47292;0;415,3046976;68;80;72.581;0.38138;0
91.5;0.47292;0;391,995436;67;80;72.984;0.38138;0
92;0.47292;0;523,2511306;72;80;73.387;0.38138;0
92.5;0.47292;0;493,8833013;71;80;73.79;0.38138;0
93;0.47292;0;349,2282314;65;80;74.194;0.38138;0
93.5;0.47292;0;329,6275569;64;80;74.597;0.38138;0
94;0.47292;0;554,365262;73;80;75;0.38138;0
94.5;0.47292;0;523,2511306;72;80;75.403;0.38138;0
95;0.47292;0;391,995436;67;80;75.806;0.38138;0
95.5;0.47292;0;369,9944227;66;80;76.21;0.38138;0
96;0.47292;0;622,2539674;75;80;76.613;0.38138;0
96.5;0.47292;0;587,3295358;74;80;77.016;0.38138;0
97;3.7979;0;523,2511306;72;80;77.419;3.0628;0